iter	Passed	Remaining
831	4605	929
832	4610	924
833	4616	918
834	4621	913
835	4626	907
836	4632	902
837	4636	896
838	4641	890
839	4646	885
840	4651	879
841	4656	873
842	4661	868
843	4666	862
844	4672	857
845	4677	851
846	4682	845
847	4687	840
848	4692	834
849	4697	828
850	4702	823
851	4706	817
852	4712	812
853	4718	806
854	4723	801
855	4728	795
856	4733	789
857	4739	784
858	4744	778
859	4749	773
860	4755	767
861	4760	762
862	4766	756
863	4771	751
864	4776	745
865	4781	739
866	4786	734
867	4792	728
868	4797	723
869	4802	717
870	4807	712
871	4813	706
872	4818	701
873	4823	695
874	4830	690
875	4835	684
876	4841	679
877	4847	673
878	4852	668
879	4858	662
880	4864	657
881	4868	651
882	4874	645
883	4880	640
884	4885	634
885	4890	629
886	4897	623
887	4902	618
888	4908	612
889	4913	607
890	4919	601
891	4924	596
892	4930	590
893	4935	585
894	4940	579
895	4945	574
896	4950	568
897	4955	562
898	4960	557
899	4965	551
900	4970	546
901	4975	540
902	4980	535
903	4986	529
904	4990	523
905	4999	518
906	5006	513
907	5012	507
908	5018	502
909	5024	496
910	5030	491
911	5036	485
912	5041	480
913	5047	474
914	5053	469
915	5059	463
916	5065	458
917	5070	452
918	5076	447
919	5081	441
920	5086	436
921	5092	430
922	5097	425
923	5102	419
924	5107	414
925	5111	408
926	5117	403
927	5122	397
928	5127	391
929	5132	386
930	5137	380
931	5142	375
932	5147	369
933	5153	364
934	5158	358
935	5163	353
936	5167	347
937	5173	341
938	5178	336
939	5183	330
940	5189	325
941	5194	319
942	5199	314
943	5204	308
944	5209	303
945	5214	297
946	5220	292
947	5225	286
948	5230	281
949	5235	275
950	5240	270
951	5244	264
952	5249	258
953	5254	253
954	5259	247
955	5264	242
956	5269	236
957	5274	231
958	5279	225
959	5284	220
960	5288	214
961	5292	209
962	5297	203
963	5302	198
964	5307	192
965	5312	186
966	5317	181
967	5321	175
968	5325	170
969	5330	164
970	5335	159
971	5339	153
972	5344	148
973	5348	142
974	5352	137
975	5356	131
976	5361	126
977	5365	120
978	5369	115
979	5373	109
980	5377	104
981	5381	98
982	5386	93
983	5390	87
984	5394	82
985	5399	76
986	5403	71
987	5406	65
988	5410	60
989	5414	54
990	5418	49
991	5421	43
992	5425	38
993	5429	32
994	5433	27
995	5437	21
996	5441	16
997	5445	10
998	5448	5
999	5451	0
